2024-09-04 09:52:25.374 +05:00 [WRN] Failed to determine the https port for redirect.
2024-09-04 09:52:27.476 +05:00 [INF] HTTP GET /Company/Home/Index responded 200 in 2104.7410 ms
2024-09-04 09:52:27.615 +05:00 [INF] HTTP GET /js/global.js responded 200 in 98.8841 ms
2024-09-04 09:52:27.615 +05:00 [INF] HTTP GET /assets/js/lib/jquery.min.js responded 200 in 98.8842 ms
2024-09-04 09:52:27.615 +05:00 [INF] HTTP GET /assets/js/dashmix.app.min.js responded 200 in 98.8844 ms
2024-09-04 09:52:27.616 +05:00 [INF] HTTP GET /assets/css/dashmix.min.css responded 200 in 100.0411 ms
2024-09-04 09:52:27.619 +05:00 [INF] HTTP GET /assets/js/plugins/chart.js/chart.min.js responded 200 in 102.5307 ms
2024-09-04 09:52:27.636 +05:00 [INF] HTTP GET /assets/media/photos/ndis1.png responded 200 in 10.7924 ms
2024-09-04 09:52:27.750 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-600.woff2 responded 200 in 8.7348 ms
2024-09-04 09:52:27.750 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-700.woff2 responded 200 in 8.4881 ms
2024-09-04 09:52:27.755 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-500.woff2 responded 200 in 14.0333 ms
2024-09-04 09:52:27.763 +05:00 [INF] HTTP GET /assets/fonts/fontawesome/fa-solid-900.woff2 responded 200 in 22.5301 ms
2024-09-04 09:52:27.790 +05:00 [INF] HTTP GET /assets/fonts/fontawesome/fa-regular-400.woff2 responded 200 in 47.2094 ms
2024-09-04 09:52:27.794 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-regular.woff2 responded 200 in 52.1518 ms
2024-09-04 09:52:28.211 +05:00 [INF] HTTP GET /assets/media/favicons/favicon.png responded 304 in 1.9414 ms
2024-09-04 10:00:16.138 +05:00 [INF] HTTP GET /Company/Client/Add responded 302 in 8.7293 ms
2024-09-04 10:00:16.145 +05:00 [INF] HTTP GET /Account/Login responded 404 in 3.7502 ms
2024-09-04 10:01:27.669 +05:00 [INF] HTTP GET /Company/Home/Index responded 200 in 1080.8019 ms
2024-09-04 10:05:38.436 +05:00 [INF] HTTP GET /Company/Home/Index responded 200 in 200.1196 ms
