2024-09-08 10:06:31.660 +05:00 [INF] HTTP GET /assets/js/dashmix.app.min.js responded 200 in 45.7615 ms
2024-09-08 10:06:31.680 +05:00 [INF] HTTP GET /assets/css/plugins.bundle.css responded 200 in 164.0252 ms
2024-09-08 10:06:31.676 +05:00 [INF] HTTP GET /assets/js/plugins/chart.js/chart.min.js responded 200 in 61.7800 ms
2024-09-08 10:06:31.697 +05:00 [INF] HTTP GET /assets/css/style.bundle.css responded 200 in 175.5160 ms
2024-09-08 10:06:31.705 +05:00 [INF] HTTP GET /assets/js/scripts.bundle.js responded 200 in 7.1689 ms
2024-09-08 10:06:31.774 +05:00 [INF] HTTP GET /assets/js/plugins.bundle.js responded 200 in 84.7464 ms
2024-09-08 10:06:32.489 +05:00 [INF] HTTP GET /assets/js/widgets.js responded 200 in 7.9785 ms
2024-09-08 10:06:32.494 +05:00 [INF] HTTP GET /assets/js/chat.js responded 200 in 13.1352 ms
2024-09-08 10:06:32.536 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-500.woff2 responded 200 in 22.8804 ms
2024-09-08 10:06:32.542 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-regular.woff2 responded 200 in 28.7123 ms
2024-09-08 10:06:32.580 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.woff2 responded 404 in 57.3263 ms
2024-09-08 10:06:32.584 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-600.woff2 responded 200 in 41.7818 ms
2024-09-08 10:06:32.590 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.woff2 responded 404 in 0.6372 ms
2024-09-08 10:06:32.613 +05:00 [INF] HTTP GET /assets/js/widgets.bundle.js responded 200 in 131.7240 ms
2024-09-08 10:06:32.795 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.ttf responded 404 in 0.6528 ms
2024-09-08 10:06:32.796 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.ttf responded 404 in 1.0067 ms
2024-09-08 10:06:32.797 +05:00 [INF] HTTP GET /assets/js/chart.umd.js.map responded 404 in 0.4177 ms
2024-09-08 10:06:32.846 +05:00 [INF] HTTP GET /assets/fonts/fontawesome/fa-solid-900.woff2 responded 200 in 7.6531 ms
2024-09-08 10:06:32.851 +05:00 [INF] HTTP GET /assets/fonts/fontawesome/fa-regular-400.woff2 responded 200 in 11.6649 ms
2024-09-08 10:06:32.990 +05:00 [INF] HTTP GET /~/assets/media/favicons/favicon.png responded 404 in 2.7420 ms
2024-09-08 10:06:32.998 +05:00 [INF] HTTP GET /~/assets/media//favicons/favicon-192x192.png responded 404 in 2.7203 ms
2024-09-08 10:07:47.009 +05:00 [WRN] Failed to determine the https port for redirect.
2024-09-08 10:07:48.910 +05:00 [INF] HTTP GET /Company/Home/Index responded 200 in 1902.2380 ms
2024-09-08 10:07:49.014 +05:00 [INF] HTTP GET /assets/media/logos/logo-compact.svg responded 404 in 11.1799 ms
2024-09-08 10:07:49.057 +05:00 [INF] HTTP GET /assets/js/lib/jquery.min.js responded 200 in 64.6349 ms
2024-09-08 10:07:49.057 +05:00 [INF] HTTP GET /js/global.js responded 200 in 64.5247 ms
